,url,ingredients,label
たらのムニエルサラダ仕立てわさびソース,https://cookpad.com/recipe/4081124,"['たら', 'レタス', 'たまねぎ']",2
呑助殺し♪かつおのゆずすこ塩なめろう,https://cookpad.com/recipe/4127031,"['かつお刺身用', '万能ねぎ', 'ゆずすこ']",2
ちくわの明太ポテトフライ,https://cookpad.com/recipe/3410836,"['ちくわ', 'じゃがいも', '明太子', '天ぷら粉']",2
お弁当！しらすとちくわの卵炒め,https://cookpad.com/recipe/4489904,"['ちくわ', 'しらす干し', '卵']",2
【屋台風】魚ニソとネギの炒め物。マヨ添え,https://cookpad.com/recipe/4012971,"['魚肉ソーセージ', 'ネギ']",2
アジの南蛮漬け（覚え書き）,https://cookpad.com/recipe/4487740,"['アジ', 'ピーマン', '人参', '玉ねぎ', '赤唐辛子', '上新粉']",2
ヘルシー！オイルフリー☆鰤豆腐餃子,https://cookpad.com/recipe/4463132,"['餃子の皮', '鰤', '豆腐', '卵', 'ねぎ']",2
ささっと1品！枝豆チーズ☆ちくわボート♪,https://cookpad.com/recipe/4216980,"['ちくわ', 'スライスチーズ', '枝豆']",2
簡単！ちくわのチーズ焼き,https://cookpad.com/recipe/4451644,"['ちくわ', 'ピザ用チーズ']",2
美味しい☆鰤のカレー焼き♪,https://cookpad.com/recipe/4463490,['鰤の切り身'],2
冷凍イカとピーマンの棒々鶏ソース炒めもの,https://cookpad.com/recipe/4307139,"['冷凍イカ', 'ピーマン', '味噌', '豆板醬', '生姜汁']",2
餃子の皮de魚肉ソーセージのしそチーズ☆,https://cookpad.com/recipe/4342592,"['餃子の皮', 'しそ', '魚肉ソーセージ', 'ピザ用チーズ']",2
ちくわのガーリックチーズパン粉焼き,https://cookpad.com/recipe/4492558,"['ちくわ', '粉チーズ', 'パセリ']",2
若イカとエビのキムチ炒め煮♪,https://cookpad.com/recipe/4029580,"['若イカ', '無頭エビ', 'アスパラガス', 'キムチの素']",2
キャベツと魚肉ソーセージのチリマヨ炒め,https://cookpad.com/recipe/4339813,"['魚肉ソーセージ', 'キャベツ', '卵']",0
魚・タラと卵の炒めもの♪簡単,https://cookpad.com/recipe/4396241,"['タラ', '卵', 'ねぎ']",2
簡単！たっぷりちくわ豆苗,https://cookpad.com/recipe/4524229,"['豆苗', 'ちくわ']",2
魚肉ソーセージで！小料理屋ポテトサラダ,https://cookpad.com/recipe/4443625,"['じゃがいも', '玉ねぎ', 'きゅうり', '人参', '魚肉ソーセージ', 'つぼ漬け', '卵', '牛乳', '塩・ブラックペパー', '塩もみ用塩']",0
チーズinちくわのハーブフライ,https://cookpad.com/recipe/4517703,"['ちくわ', 'ベビーチーズアーモンド入り', '天ぷら粉', '氷水', 'マジックソルト']",2
節約70円♡ちくわと卵の塩バター炒め,https://cookpad.com/recipe/4344126,"['ちくわ', 'ピーマン', '卵', 'バター', '創味シャンタン', '塩ブラックペッパー']",2
ちくわの磯辺焼き！,https://cookpad.com/recipe/4155282,['ちくわ'],2
ちくわの豚バラチーズ巻☆お弁当・運動会に,https://cookpad.com/recipe/4437435,"['ちくわ', 'とろけるチーズ', '焼肉のタレ', '豚バラ肉薄切り']",2
簡単！アボカドソース☆胡瓜竹輪,https://cookpad.com/recipe/4424912,"['アボカドソース', 'ちくわ', 'きゅうり']",2
もやしとちくわのカレーオイスター炒め,https://cookpad.com/recipe/3779513,"['もやし', 'ちくわ', 'カレーパウダー', '青ネギ']",2
簡単！魚肉ソーセージ☆ナポリタン風,https://cookpad.com/recipe/4502054,"['魚肉ソーセージ', '玉葱', 'ピーマン']",2
